configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,shift_right,eligible,,240.245975,240.245975,0.000000
random_forest,baseline,1b394ca5-4825-4d27-9139-bdf6bed0b399.png,shift_up,eligible,,240.245975,240.245975,0.000000
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,contraction,eligible,,85.998550,80.264200,-5.734351
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,expansion,eligible,,85.998550,104.701971,18.703420
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,scale_grow,eligible,,85.998550,88.038993,2.040443
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,scale_shrink,eligible,,85.998550,78.852155,-7.146396
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,shift_down,eligible,,85.998550,85.998550,0.000000
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,shift_left,eligible,,85.998550,85.998550,0.000000
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,shift_right,eligible,,85.998550,85.998550,0.000000
random_forest,baseline,1ccabb11-5fef-4c6f-a21a-0acf1128b423.png,shift_up,eligible,,85.998550,85.998550,0.000000
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,contraction,eligible,,293.614817,201.494715,-92.120102
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,expansion,eligible,,293.614817,377.315321,83.700504
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,scale_grow,eligible,,293.614817,316.144655,22.529839
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,scale_shrink,eligible,,293.614817,226.652915,-66.961902
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,shift_down,rejected,shift_cuts_foreground,293.614817,,
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,shift_left,eligible,,293.614817,293.614817,0.000000
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,shift_right,eligible,,293.614817,293.614817,0.000000
random_forest,baseline,1f26dd3d-addb-4203-9ce4-03d477ab545d.png,shift_up,eligible,,293.614817,293.614817,0.000000
random_forest,baseline,1f5efe82-b5ff-409c-99dd-faec76d29d0d.png,contraction,rejected,contraction_topology_violation,189.954379,,
