experiment,baseline,target,scope,fold,repetition,permutation_seed,n,reference_mae_kg,result_mae_kg,delta_mae_kg,effect
permutation,random_forest,hu_moment_2,fold,4,0,1240815639,26,67.093543,66.544699,-0.548844,neutral
permutation,random_forest,hu_moment_2,fold,4,1,3483912495,26,67.093543,66.984396,-0.109147,neutral
permutation,random_forest,hu_moment_2,fold,4,2,855548311,26,67.093543,67.326512,0.232969,neutral
permutation,random_forest,hu_moment_2,fold,4,3,3107849002,26,67.093543,67.067934,-0.025609,neutral
permutation,random_forest,hu_moment_2,fold,4,4,2840627617,26,67.093543,67.050632,-0.042911,neutral
permutation,random_forest,hu_moment_2,fold,4,5,4266984332,26,67.093543,66.959090,-0.134453,neutral
permutation,random_forest,hu_moment_2,fold,4,6,599300035,26,67.093543,66.876485,-0.217058,neutral
permutation,random_forest,hu_moment_2,fold,4,7,1477390080,26,67.093543,66.874070,-0.219473,neutral
permutation,random_forest,hu_moment_2,fold,4,8,3085523352,26,67.093543,66.943016,-0.150527,neutral
permutation,random_forest,hu_moment_2,fold,4,9,3252245342,26,67.093543,67.116635,0.023092,neutral
permutation,random_forest,hu_moment_2,fold,5,0,3432189400,26,67.367468,68.875243,1.507775,harm
permutation,random_forest,hu_moment_2,fold,5,1,1982374268,26,67.367468,69.131738,1.764270,harm
permutation,random_forest,hu_moment_2,fold,5,2,3767186855,26,67.367468,69.368488,2.001020,harm
permutation,random_forest,hu_moment_2,fold,5,3,2899025340,26,67.367468,70.700002,3.332534,harm
permutation,random_forest,hu_moment_2,fold,5,4,768544468,26,67.367468,70.275034,2.907566,harm
permutation,random_forest,hu_moment_2,fold,5,5,711112607,26,67.367468,69.258280,1.890812,harm
permutation,random_forest,hu_moment_2,fold,5,6,2157126099,26,67.367468,69.457557,2.090089,harm
permutation,random_forest,hu_moment_2,fold,5,7,2896396353,26,67.367468,68.117719,0.750251,neutral
permutation,random_forest,hu_moment_2,fold,5,8,107214381,26,67.367468,68.896095,1.528627,harm
permutation,random_forest,hu_moment_2,fold,5,9,3500933644,26,67.367468,69.890289,2.522821,harm
permutation,random_forest,hu_moment_2,oof,,0,,132,52.784275,53.043605,0.259330,neutral
permutation,random_forest,hu_moment_2,oof,,1,,132,52.784275,53.315197,0.530922,neutral
permutation,random_forest,hu_moment_2,oof,,2,,132,52.784275,53.398619,0.614344,neutral
permutation,random_forest,hu_moment_2,oof,,3,,132,52.784275,53.704849,0.920574,neutral
permutation,random_forest,hu_moment_2,oof,,4,,132,52.784275,53.400225,0.615950,neutral
permutation,random_forest,hu_moment_2,oof,,5,,132,52.784275,53.533007,0.748732,neutral
permutation,random_forest,hu_moment_2,oof,,6,,132,52.784275,53.371063,0.586788,neutral
permutation,random_forest,hu_moment_2,oof,,7,,132,52.784275,52.513370,-0.270905,neutral
permutation,random_forest,hu_moment_2,oof,,8,,132,52.784275,53.183287,0.399012,neutral
permutation,random_forest,hu_moment_2,oof,,9,,132,52.784275,53.726084,0.941809,neutral
permutation,random_forest,major_axis_length,fold,1,0,1786198140,27,50.674813,55.438882,4.764069,harm
permutation,random_forest,major_axis_length,fold,1,1,515337467,27,50.674813,60.231264,9.556451,harm
permutation,random_forest,major_axis_length,fold,1,2,3944952757,27,50.674813,59.830125,9.155312,harm
permutation,random_forest,major_axis_length,fold,1,3,1871415083,27,50.674813,56.345895,5.671083,harm
permutation,random_forest,major_axis_length,fold,1,4,3886271734,27,50.674813,64.417974,13.743161,harm
permutation,random_forest,major_axis_length,fold,1,5,2369790539,27,50.674813,49.982311,-0.692502,neutral
permutation,random_forest,major_axis_length,fold,1,6,3006099621,27,50.674813,61.518729,10.843916,harm
permutation,random_forest,major_axis_length,fold,1,7,4198054086,27,50.674813,54.218101,3.543288,harm
permutation,random_forest,major_axis_length,fold,1,8,807526348,27,50.674813,61.608071,10.933258,harm
permutation,random_forest,major_axis_length,fold,1,9,1279986302,27,50.674813,67.489333,16.814520,harm
permutation,random_forest,major_axis_length,fold,2,0,2951586761,27,31.781472,41.548790,9.767318,harm
permutation,random_forest,major_axis_length,fold,2,1,2533615676,27,31.781472,44.321975,12.540503,harm
permutation,random_forest,major_axis_length,fold,2,2,2335822380,27,31.781472,44.917750,13.136278,harm
permutation,random_forest,major_axis_length,fold,2,3,3191027085,27,31.781472,33.371463,1.589991,harm
permutation,random_forest,major_axis_length,fold,2,4,1952395252,27,31.781472,44.802872,13.021400,harm
permutation,random_forest,major_axis_length,fold,2,5,3956116021,27,31.781472,39.103441,7.321969,harm
permutation,random_forest,major_axis_length,fold,2,6,3797816362,27,31.781472,36.549999,4.768527,harm
permutation,random_forest,major_axis_length,fold,2,7,3503433696,27,31.781472,41.713338,9.931866,harm
permutation,random_forest,major_axis_length,fold,2,8,3232500665,27,31.781472,44.891255,13.109783,harm
permutation,random_forest,major_axis_length,fold,2,9,2740418900,27,31.781472,43.697190,11.915718,harm
permutation,random_forest,major_axis_length,fold,3,0,4242792151,26,47.893012,52.865217,4.972205,harm
permutation,random_forest,major_axis_length,fold,3,1,2411497984,26,47.893012,49.628051,1.735039,harm
permutation,random_forest,major_axis_length,fold,3,2,1732395633,26,47.893012,51.039499,3.146486,harm
permutation,random_forest,major_axis_length,fold,3,3,2686572192,26,47.893012,48.338179,0.445166,neutral
permutation,random_forest,major_axis_length,fold,3,4,1563450469,26,47.893012,47.982202,0.089190,neutral
permutation,random_forest,major_axis_length,fold,3,5,2934333788,26,47.893012,51.060920,3.167908,harm
permutation,random_forest,major_axis_length,fold,3,6,2599200342,26,47.893012,49.468899,1.575887,harm
permutation,random_forest,major_axis_length,fold,3,7,2013395734,26,47.893012,48.603993,0.710981,neutral
permutation,random_forest,major_axis_length,fold,3,8,492041717,26,47.893012,51.605495,3.712482,harm
permutation,random_forest,major_axis_length,fold,3,9,669286809,26,47.893012,49.693969,1.800956,harm
permutation,random_forest,major_axis_length,fold,4,0,223220097,26,67.093543,69.299419,2.205876,harm
permutation,random_forest,major_axis_length,fold,4,1,1640013815,26,67.093543,69.800657,2.707114,harm
permutation,random_forest,major_axis_length,fold,4,2,3714520507,26,67.093543,67.106488,0.012945,neutral
permutation,random_forest,major_axis_length,fold,4,3,2082348251,26,67.093543,69.285347,2.191804,harm
permutation,random_forest,major_axis_length,fold,4,4,370965481,26,67.093543,69.665283,2.571740,harm
permutation,random_forest,major_axis_length,fold,4,5,3419908559,26,67.093543,66.487632,-0.605911,neutral
permutation,random_forest,major_axis_length,fold,4,6,1496428454,26,67.093543,69.600136,2.506593,harm
permutation,random_forest,major_axis_length,fold,4,7,2246597178,26,67.093543,67.052717,-0.040826,neutral
permutation,random_forest,major_axis_length,fold,4,8,1914683134,26,67.093543,68.271954,1.178411,harm
permutation,random_forest,major_axis_length,fold,4,9,1485727316,26,67.093543,69.465403,2.371860,harm
permutation,random_forest,major_axis_length,fold,5,0,1854081052,26,67.367468,67.502721,0.135253,neutral
permutation,random_forest,major_axis_length,fold,5,1,3474133118,26,67.367468,68.127838,0.760370,neutral
permutation,random_forest,major_axis_length,fold,5,2,2790242084,26,67.367468,71.146963,3.779495,harm
permutation,random_forest,major_axis_length,fold,5,3,314989017,26,67.367468,73.455052,6.087584,harm
permutation,random_forest,major_axis_length,fold,5,4,245392995,26,67.367468,68.868018,1.500550,harm
permutation,random_forest,major_axis_length,fold,5,5,2328722493,26,67.367468,67.523564,0.156096,neutral
permutation,random_forest,major_axis_length,fold,5,6,2265165306,26,67.367468,66.477584,-0.889884,neutral
permutation,random_forest,major_axis_length,fold,5,7,3208345460,26,67.367468,65.034205,-2.333264,improvement
permutation,random_forest,major_axis_length,fold,5,8,3799211225,26,67.367468,69.160382,1.792914,harm
permutation,random_forest,major_axis_length,fold,5,9,1637422397,26,67.367468,64.832659,-2.534809,improvement
permutation,random_forest,major_axis_length,oof,,0,,132,52.784275,57.197110,4.412835,harm
permutation,random_forest,major_axis_length,oof,,1,,132,52.784275,58.328846,5.544571,harm
permutation,random_forest,major_axis_length,oof,,2,,132,52.784275,58.710677,5.926402,harm
permutation,random_forest,major_axis_length,oof,,3,,132,52.784275,55.987967,3.203693,harm
permutation,random_forest,major_axis_length,oof,,4,,132,52.784275,59.078530,6.294255,harm
permutation,random_forest,major_axis_length,oof,,5,,132,52.784275,54.675684,1.891409,harm
permutation,random_forest,major_axis_length,oof,,6,,132,52.784275,56.606574,3.822299,harm
permutation,random_forest,major_axis_length,oof,,7,,132,52.784275,55.212975,2.428700,harm
permutation,random_forest,major_axis_length,oof,,8,,132,52.784275,59.018677,6.234402,harm
permutation,random_forest,major_axis_length,oof,,9,,132,52.784275,58.983552,6.199278,harm
permutation,random_forest,minor_axis_length,fold,1,0,1216088248,27,50.674813,50.861361,0.186549,neutral
permutation,random_forest,minor_axis_length,fold,1,1,3045117495,27,50.674813,51.083050,0.408237,neutral
permutation,random_forest,minor_axis_length,fold,1,2,1482444254,27,50.674813,51.084826,0.410014,neutral
permutation,random_forest,minor_axis_length,fold,1,3,1732679400,27,50.674813,50.740715,0.065902,neutral
permutation,random_forest,minor_axis_length,fold,1,4,2919484131,27,50.674813,50.212107,-0.462705,neutral
permutation,random_forest,minor_axis_length,fold,1,5,3731604391,27,50.674813,50.681575,0.006762,neutral
permutation,random_forest,minor_axis_length,fold,1,6,1870411358,27,50.674813,50.665312,-0.009501,neutral
permutation,random_forest,minor_axis_length,fold,1,7,2167378774,27,50.674813,50.817122,0.142309,neutral
permutation,random_forest,minor_axis_length,fold,1,8,1245975256,27,50.674813,50.758009,0.083196,neutral
permutation,random_forest,minor_axis_length,fold,1,9,1333968660,27,50.674813,50.563511,-0.111302,neutral
permutation,random_forest,minor_axis_length,fold,2,0,2726194179,27,31.781472,32.374528,0.593056,neutral
permutation,random_forest,minor_axis_length,fold,2,1,4255958012,27,31.781472,31.741623,-0.039849,neutral
permutation,random_forest,minor_axis_length,fold,2,2,33631511,27,31.781472,30.853403,-0.928069,neutral
permutation,random_forest,minor_axis_length,fold,2,3,3266139377,27,31.781472,31.113743,-0.667729,neutral
permutation,random_forest,minor_axis_length,fold,2,4,1803605665,27,31.781472,30.961899,-0.819573,neutral
permutation,random_forest,minor_axis_length,fold,2,5,4265778608,27,31.781472,31.296265,-0.485207,neutral
permutation,random_forest,minor_axis_length,fold,2,6,3520592552,27,31.781472,30.790166,-0.991306,neutral
permutation,random_forest,minor_axis_length,fold,2,7,893667260,27,31.781472,30.816801,-0.964671,neutral
permutation,random_forest,minor_axis_length,fold,2,8,1885562747,27,31.781472,30.999534,-0.781938,neutral
permutation,random_forest,minor_axis_length,fold,2,9,1398763161,27,31.781472,31.747543,-0.033929,neutral
permutation,random_forest,minor_axis_length,fold,3,0,2851940869,26,47.893012,47.300429,-0.592584,neutral
permutation,random_forest,minor_axis_length,fold,3,1,2370105557,26,47.893012,47.690401,-0.202611,neutral
permutation,random_forest,minor_axis_length,fold,3,2,20793028,26,47.893012,47.904244,0.011232,neutral
permutation,random_forest,minor_axis_length,fold,3,3,523055236,26,47.893012,49.401341,1.508329,harm
permutation,random_forest,minor_axis_length,fold,3,4,2736152616,26,47.893012,48.194941,0.301928,neutral
permutation,random_forest,minor_axis_length,fold,3,5,368135538,26,47.893012,47.686199,-0.206813,neutral
permutation,random_forest,minor_axis_length,fold,3,6,2931559114,26,47.893012,48.582069,0.689057,neutral
permutation,random_forest,minor_axis_length,fold,3,7,2598860800,26,47.893012,49.027927,1.134915,harm
permutation,random_forest,minor_axis_length,fold,3,8,2463851236,26,47.893012,49.237774,1.344762,harm
permutation,random_forest,minor_axis_length,fold,3,9,4125791423,26,47.893012,48.069032,0.176020,neutral
permutation,random_forest,minor_axis_length,fold,4,0,1327031000,26,67.093543,67.584636,0.491093,neutral
permutation,random_forest,minor_axis_length,fold,4,1,2832253497,26,67.093543,67.546081,0.452538,neutral
permutation,random_forest,minor_axis_length,fold,4,2,1101272127,26,67.093543,68.030769,0.937226,neutral
permutation,random_forest,minor_axis_length,fold,4,3,2824532285,26,67.093543,67.046903,-0.046640,neutral
permutation,random_forest,minor_axis_length,fold,4,4,2311500309,26,67.093543,67.591378,0.497835,neutral
permutation,random_forest,minor_axis_length,fold,4,5,2803621910,26,67.093543,67.428746,0.335203,neutral
permutation,random_forest,minor_axis_length,fold,4,6,2217053571,26,67.093543,67.627976,0.534433,neutral
permutation,random_forest,minor_axis_length,fold,4,7,1383131033,26,67.093543,66.878670,-0.214873,neutral
permutation,random_forest,minor_axis_length,fold,4,8,769827475,26,67.093543,67.047718,-0.045825,neutral
permutation,random_forest,minor_axis_length,fold,4,9,1911313059,26,67.093543,67.385904,0.292361,neutral
permutation,random_forest,minor_axis_length,fold,5,0,4052606698,26,67.367468,67.622111,0.254643,neutral
permutation,random_forest,minor_axis_length,fold,5,1,662350889,26,67.367468,68.622435,1.254966,harm
permutation,random_forest,minor_axis_length,fold,5,2,3804297048,26,67.367468,67.727612,0.360144,neutral
permutation,random_forest,minor_axis_length,fold,5,3,1040649713,26,67.367468,67.905754,0.538286,neutral
permutation,random_forest,minor_axis_length,fold,5,4,901146349,26,67.367468,67.108989,-0.258479,neutral
permutation,random_forest,minor_axis_length,fold,5,5,3274792478,26,67.367468,68.089910,0.722442,neutral
permutation,random_forest,minor_axis_length,fold,5,6,1721740451,26,67.367468,66.874993,-0.492475,neutral
permutation,random_forest,minor_axis_length,fold,5,7,1231145382,26,67.367468,67.912386,0.544918,neutral
permutation,random_forest,minor_axis_length,fold,5,8,1701783300,26,67.367468,67.853618,0.486150,neutral
permutation,random_forest,minor_axis_length,fold,5,9,748463924,26,67.367468,67.871168,0.503700,neutral
permutation,random_forest,minor_axis_length,oof,,0,,132,52.784275,52.973906,0.189631,neutral
permutation,random_forest,minor_axis_length,oof,,1,,132,52.784275,53.156045,0.371770,neutral
permutation,random_forest,minor_axis_length,oof,,2,,132,52.784275,52.936064,0.151789,neutral
permutation,random_forest,minor_axis_length,oof,,3,,132,52.784275,53.055108,0.270834,neutral
permutation,random_forest,minor_axis_length,oof,,4,,132,52.784275,52.628607,-0.155668,neutral
permutation,random_forest,minor_axis_length,oof,,5,,132,52.784275,52.853999,0.069724,neutral
permutation,random_forest,minor_axis_length,oof,,6,,132,52.784275,52.723552,-0.060723,neutral
permutation,random_forest,minor_axis_length,oof,,7,,132,52.784275,52.904617,0.120342,neutral
permutation,random_forest,minor_axis_length,oof,,8,,132,52.784275,52.992958,0.208683,neutral
permutation,random_forest,minor_axis_length,oof,,9,,132,52.784275,52.946039,0.161764,neutral
permutation,random_forest,perimeter,fold,1,0,2567995507,27,50.674813,52.504461,1.829649,harm
permutation,random_forest,perimeter,fold,1,1,3098549238,27,50.674813,53.627939,2.953126,harm
permutation,random_forest,perimeter,fold,1,2,3020797357,27,50.674813,54.422764,3.747951,harm
permutation,random_forest,perimeter,fold,1,3,2599573888,27,50.674813,53.256736,2.581923,harm
permutation,random_forest,perimeter,fold,1,4,1488121421,27,50.674813,54.363092,3.688279,harm
permutation,random_forest,perimeter,fold,1,5,4236543401,27,50.674813,51.749040,1.074228,harm
permutation,random_forest,perimeter,fold,1,6,1996206203,27,50.674813,51.636669,0.961857,neutral
permutation,random_forest,perimeter,fold,1,7,1767986349,27,50.674813,54.439494,3.764681,harm
permutation,random_forest,perimeter,fold,1,8,1206299363,27,50.674813,53.684786,3.009973,harm
permutation,random_forest,perimeter,fold,1,9,2468175410,27,50.674813,48.775067,-1.899746,improvement
permutation,random_forest,perimeter,fold,2,0,2596841407,27,31.781472,31.792049,0.010577,neutral
permutation,random_forest,perimeter,fold,2,1,2583278319,27,31.781472,32.281470,0.499998,neutral
permutation,random_forest,perimeter,fold,2,2,1796381455,27,31.781472,32.743744,0.962272,neutral
permutation,random_forest,perimeter,fold,2,3,80730372,27,31.781472,32.534572,0.753100,neutral
permutation,random_forest,perimeter,fold,2,4,174389714,27,31.781472,34.373299,2.591827,harm
permutation,random_forest,perimeter,fold,2,5,2090257511,27,31.781472,32.647044,0.865572,neutral
permutation,random_forest,perimeter,fold,2,6,203665751,27,31.781472,32.585515,0.804043,neutral
permutation,random_forest,perimeter,fold,2,7,1308416163,27,31.781472,30.349929,-1.431543,improvement
permutation,random_forest,perimeter,fold,2,8,3151625645,27,31.781472,33.242189,1.460717,harm
permutation,random_forest,perimeter,fold,2,9,1175385010,27,31.781472,35.015022,3.233550,harm
permutation,random_forest,perimeter,fold,3,0,4234612724,26,47.893012,49.458344,1.565332,harm
permutation,random_forest,perimeter,fold,3,1,716609224,26,47.893012,48.579130,0.686117,neutral
permutation,random_forest,perimeter,fold,3,2,4286539267,26,47.893012,48.450449,0.557437,neutral
permutation,random_forest,perimeter,fold,3,3,208109275,26,47.893012,48.235395,0.342383,neutral
permutation,random_forest,perimeter,fold,3,4,1060592319,26,47.893012,47.966015,0.073003,neutral
permutation,random_forest,perimeter,fold,3,5,4082426967,26,47.893012,47.863358,-0.029655,neutral
permutation,random_forest,perimeter,fold,3,6,2704033258,26,47.893012,48.278542,0.385530,neutral
permutation,random_forest,perimeter,fold,3,7,540380709,26,47.893012,48.361587,0.468575,neutral
permutation,random_forest,perimeter,fold,3,8,140738137,26,47.893012,47.968943,0.075931,neutral
permutation,random_forest,perimeter,fold,3,9,2480833260,26,47.893012,48.689119,0.796107,neutral
permutation,random_forest,perimeter,fold,4,0,2277388005,26,67.093543,66.165810,-0.927733,neutral
permutation,random_forest,perimeter,fold,4,1,1548788079,26,67.093543,68.526055,1.432512,harm
permutation,random_forest,perimeter,fold,4,2,4219593851,26,67.093543,67.724184,0.630641,neutral
permutation,random_forest,perimeter,fold,4,3,3916653875,26,67.093543,68.235482,1.141939,harm
permutation,random_forest,perimeter,fold,4,4,2684923859,26,67.093543,67.588242,0.494699,neutral
permutation,random_forest,perimeter,fold,4,5,376639045,26,67.093543,67.246105,0.152562,neutral
permutation,random_forest,perimeter,fold,4,6,392655378,26,67.093543,66.821902,-0.271641,neutral
permutation,random_forest,perimeter,fold,4,7,2282509898,26,67.093543,68.425858,1.332315,harm
permutation,random_forest,perimeter,fold,4,8,1453973033,26,67.093543,68.404752,1.311209,harm
permutation,random_forest,perimeter,fold,4,9,3846019820,26,67.093543,68.276579,1.183036,harm
permutation,random_forest,perimeter,fold,5,0,2189653012,26,67.367468,66.947062,-0.420406,neutral
permutation,random_forest,perimeter,fold,5,1,1462378205,26,67.367468,68.126539,0.759071,neutral
permutation,random_forest,perimeter,fold,5,2,658598124,26,67.367468,67.727049,0.359581,neutral
permutation,random_forest,perimeter,fold,5,3,1087084097,26,67.367468,67.528569,0.161101,neutral
permutation,random_forest,perimeter,fold,5,4,734230583,26,67.367468,67.705239,0.337771,neutral
permutation,random_forest,perimeter,fold,5,5,2619211684,26,67.367468,65.002894,-2.364574,improvement
permutation,random_forest,perimeter,fold,5,6,540298795,26,67.367468,68.317839,0.950371,neutral
permutation,random_forest,perimeter,fold,5,7,1139252941,26,67.367468,67.511941,0.144473,neutral
permutation,random_forest,perimeter,fold,5,8,3272933946,26,67.367468,67.542170,0.174702,neutral
permutation,random_forest,perimeter,fold,5,9,299772538,26,67.367468,66.944805,-0.422663,neutral
permutation,random_forest,perimeter,oof,,0,,132,52.784275,53.203465,0.419190,neutral
permutation,random_forest,perimeter,oof,,1,,132,52.784275,54.057416,1.273141,harm
permutation,random_forest,perimeter,oof,,2,,132,52.784275,54.052572,1.268297,harm
permutation,random_forest,perimeter,oof,,3,,132,52.784275,53.790537,1.006262,harm
permutation,random_forest,perimeter,oof,,4,,132,52.784275,54.247193,1.462918,harm
permutation,random_forest,perimeter,oof,,5,,132,52.784275,52.739512,-0.044763,neutral
permutation,random_forest,perimeter,oof,,6,,132,52.784275,53.355109,0.570834,neutral
permutation,random_forest,perimeter,oof,,7,,132,52.784275,53.644685,0.860410,neutral
permutation,random_forest,perimeter,oof,,8,,132,52.784275,54.006370,1.222095,harm
permutation,random_forest,perimeter,oof,,9,,132,52.784275,53.363678,0.579403,neutral
permutation,random_forest,roundness,fold,1,0,1539491255,27,50.674813,50.395483,-0.279329,neutral
permutation,random_forest,roundness,fold,1,1,959217444,27,50.674813,50.609074,-0.065739,neutral
permutation,random_forest,roundness,fold,1,2,3955744546,27,50.674813,50.771372,0.096559,neutral
permutation,random_forest,roundness,fold,1,3,1049498219,27,50.674813,50.679257,0.004445,neutral
permutation,random_forest,roundness,fold,1,4,3661670872,27,50.674813,50.604116,-0.070697,neutral
permutation,random_forest,roundness,fold,1,5,1839960214,27,50.674813,50.550628,-0.124184,neutral
permutation,random_forest,roundness,fold,1,6,3650053108,27,50.674813,50.558595,-0.116218,neutral
permutation,random_forest,roundness,fold,1,7,2559958915,27,50.674813,50.657267,-0.017546,neutral
permutation,random_forest,roundness,fold,1,8,537941592,27,50.674813,50.635328,-0.039485,neutral
permutation,random_forest,roundness,fold,1,9,1538657836,27,50.674813,50.583173,-0.091640,neutral
permutation,random_forest,roundness,fold,2,0,2930289840,27,31.781472,31.758123,-0.023349,neutral
permutation,random_forest,roundness,fold,2,1,4001019900,27,31.781472,31.949646,0.168174,neutral
permutation,random_forest,roundness,fold,2,2,578336854,27,31.781472,31.438149,-0.343323,neutral
permutation,random_forest,roundness,fold,2,3,3772813284,27,31.781472,31.974457,0.192985,neutral
permutation,random_forest,roundness,fold,2,4,3030665123,27,31.781472,31.955580,0.174108,neutral
permutation,random_forest,roundness,fold,2,5,764773168,27,31.781472,31.872267,0.090795,neutral
permutation,random_forest,roundness,fold,2,6,1016854723,27,31.781472,32.095232,0.313760,neutral
permutation,random_forest,roundness,fold,2,7,611893449,27,31.781472,31.886570,0.105098,neutral
permutation,random_forest,roundness,fold,2,8,2639459229,27,31.781472,32.098513,0.317041,neutral
permutation,random_forest,roundness,fold,2,9,1882429121,27,31.781472,31.500087,-0.281385,neutral
permutation,random_forest,roundness,fold,3,0,3690701478,26,47.893012,47.833423,-0.059589,neutral
permutation,random_forest,roundness,fold,3,1,283051529,26,47.893012,48.145270,0.252257,neutral
permutation,random_forest,roundness,fold,3,2,3181063600,26,47.893012,47.869420,-0.023593,neutral
permutation,random_forest,roundness,fold,3,3,2626013063,26,47.893012,48.389845,0.496833,neutral
permutation,random_forest,roundness,fold,3,4,3483318407,26,47.893012,48.068239,0.175227,neutral
permutation,random_forest,roundness,fold,3,5,2770224786,26,47.893012,48.177669,0.284656,neutral
permutation,random_forest,roundness,fold,3,6,621057027,26,47.893012,48.032330,0.139317,neutral
permutation,random_forest,roundness,fold,3,7,122421412,26,47.893012,47.761718,-0.131295,neutral
permutation,random_forest,roundness,fold,3,8,688896882,26,47.893012,47.872634,-0.020378,neutral
permutation,random_forest,roundness,fold,3,9,1175651847,26,47.893012,47.800306,-0.092707,neutral
permutation,random_forest,roundness,fold,4,0,2685445344,26,67.093543,67.152028,0.058485,neutral
permutation,random_forest,roundness,fold,4,1,1193724274,26,67.093543,67.264829,0.171286,neutral
permutation,random_forest,roundness,fold,4,2,4193672252,26,67.093543,67.347696,0.254152,neutral
permutation,random_forest,roundness,fold,4,3,4264291399,26,67.093543,67.399923,0.306379,neutral
permutation,random_forest,roundness,fold,4,4,3604200763,26,67.093543,66.881256,-0.212287,neutral
permutation,random_forest,roundness,fold,4,5,95989177,26,67.093543,66.901603,-0.191940,neutral
permutation,random_forest,roundness,fold,4,6,1018287822,26,67.093543,67.043334,-0.050209,neutral
permutation,random_forest,roundness,fold,4,7,2735567048,26,67.093543,67.038843,-0.054700,neutral
permutation,random_forest,roundness,fold,4,8,2616946144,26,67.093543,67.305883,0.212340,neutral
permutation,random_forest,roundness,fold,4,9,1680101450,26,67.093543,67.167053,0.073510,neutral
permutation,random_forest,roundness,fold,5,0,2235932071,26,67.367468,67.457682,0.090214,neutral
permutation,random_forest,roundness,fold,5,1,1357530297,26,67.367468,67.387961,0.020493,neutral
permutation,random_forest,roundness,fold,5,2,584849085,26,67.367468,67.405650,0.038182,neutral
permutation,random_forest,roundness,fold,5,3,2106445213,26,67.367468,67.342948,-0.024520,neutral
permutation,random_forest,roundness,fold,5,4,914885460,26,67.367468,67.604065,0.236596,neutral
permutation,random_forest,roundness,fold,5,5,859096231,26,67.367468,67.572332,0.204864,neutral
permutation,random_forest,roundness,fold,5,6,845509913,26,67.367468,67.753325,0.385856,neutral
permutation,random_forest,roundness,fold,5,7,2567884808,26,67.367468,67.241998,-0.125470,neutral
permutation,random_forest,roundness,fold,5,8,3322052576,26,67.367468,67.521668,0.154200,neutral
permutation,random_forest,roundness,fold,5,9,2949744194,26,67.367468,67.079120,-0.288348,neutral
permutation,random_forest,roundness,oof,,0,,132,52.784275,52.739915,-0.044360,neutral
permutation,random_forest,roundness,oof,,1,,132,52.784275,52.892689,0.108414,neutral
permutation,random_forest,roundness,oof,,2,,132,52.784275,52.786734,0.002459,neutral
permutation,random_forest,roundness,oof,,3,,132,52.784275,52.978037,0.193762,neutral
permutation,random_forest,roundness,oof,,4,,132,52.784275,52.844730,0.060455,neutral
permutation,random_forest,roundness,oof,,5,,132,52.784275,52.836060,0.051785,neutral
permutation,random_forest,roundness,oof,,6,,132,52.784275,52.918235,0.133960,neutral
permutation,random_forest,roundness,oof,,7,,132,52.784275,52.740834,-0.043441,neutral
permutation,random_forest,roundness,oof,,8,,132,52.784275,52.909231,0.124956,neutral
permutation,random_forest,roundness,oof,,9,,132,52.784275,52.647397,-0.136877,neutral
permutation,random_forest,solidity,fold,1,0,2320907518,27,50.674813,58.666538,7.991725,harm
permutation,random_forest,solidity,fold,1,1,4177457186,27,50.674813,60.684994,10.010181,harm
permutation,random_forest,solidity,fold,1,2,2293427380,27,50.674813,62.225836,11.551024,harm
permutation,random_forest,solidity,fold,1,3,45215085,27,50.674813,63.582308,12.907495,harm
permutation,random_forest,solidity,fold,1,4,3080014103,27,50.674813,54.925064,4.250251,harm
permutation,random_forest,solidity,fold,1,5,1518179484,27,50.674813,54.812851,4.138038,harm
permutation,random_forest,solidity,fold,1,6,1548377384,27,50.674813,57.244747,6.569934,harm
permutation,random_forest,solidity,fold,1,7,1153131477,27,50.674813,62.063157,11.388344,harm
permutation,random_forest,solidity,fold,1,8,410056678,27,50.674813,57.817892,7.143079,harm
permutation,random_forest,solidity,fold,1,9,3576641096,27,50.674813,54.035630,3.360817,harm
permutation,random_forest,solidity,fold,2,0,4203436569,27,31.781472,44.747664,12.966192,harm
permutation,random_forest,solidity,fold,2,1,665392313,27,31.781472,41.117425,9.335953,harm
permutation,random_forest,solidity,fold,2,2,3085038964,27,31.781472,42.908075,11.126603,harm
permutation,random_forest,solidity,fold,2,3,3521994719,27,31.781472,40.984180,9.202708,harm
permutation,random_forest,solidity,fold,2,4,1901530574,27,31.781472,36.650987,4.869515,harm
permutation,random_forest,solidity,fold,2,5,2590155963,27,31.781472,45.421089,13.639617,harm
permutation,random_forest,solidity,fold,2,6,3830966436,27,31.781472,37.400696,5.619224,harm
permutation,random_forest,solidity,fold,2,7,2366419800,27,31.781472,46.661628,14.880156,harm
permutation,random_forest,solidity,fold,2,8,749040411,27,31.781472,47.393874,15.612402,harm
permutation,random_forest,solidity,fold,2,9,2915868431,27,31.781472,43.950431,12.168959,harm
permutation,random_forest,solidity,fold,3,0,1369785623,26,47.893012,56.759776,8.866764,harm
permutation,random_forest,solidity,fold,3,1,216779788,26,47.893012,55.015775,7.122763,harm
permutation,random_forest,solidity,fold,3,2,3068892205,26,47.893012,57.435894,9.542882,harm
permutation,random_forest,solidity,fold,3,3,2956094987,26,47.893012,61.190950,13.297938,harm
permutation,random_forest,solidity,fold,3,4,296923292,26,47.893012,59.144422,11.251410,harm
permutation,random_forest,solidity,fold,3,5,3944895763,26,47.893012,57.313286,9.420273,harm
permutation,random_forest,solidity,fold,3,6,4121084218,26,47.893012,59.431553,11.538541,harm
