experiment,baseline,target,scope,fold,repetition,permutation_seed,n,reference_mae_kg,result_mae_kg,delta_mae_kg,effect
isolated,random_forest,bbox_width,fold,5,,,26,,79.539970,,
isolated,random_forest,bbox_width,oof,,,,132,,71.653928,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,1,,,27,,120.640948,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,2,,,27,,138.348918,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,3,,,26,,125.027997,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,4,,,26,,138.962680,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,5,,,26,,116.406851,,
isolated,random_forest,center_to_end_occupancy_ratio,oof,,,,132,,127.901986,,
isolated,random_forest,center_vertical_occupancy,fold,1,,,27,,77.904668,,
isolated,random_forest,center_vertical_occupancy,fold,2,,,27,,62.280759,,
isolated,random_forest,center_vertical_occupancy,fold,3,,,26,,64.838860,,
isolated,random_forest,center_vertical_occupancy,fold,4,,,26,,66.940271,,
isolated,random_forest,center_vertical_occupancy,fold,5,,,26,,95.229022,,
isolated,random_forest,center_vertical_occupancy,oof,,,,132,,73.388019,,
isolated,random_forest,centroid_x_offset,fold,1,,,27,,165.118846,,
isolated,random_forest,centroid_x_offset,fold,2,,,27,,129.119529,,
isolated,random_forest,centroid_x_offset,fold,3,,,26,,134.837797,,
isolated,random_forest,centroid_x_offset,fold,4,,,26,,126.682603,,
isolated,random_forest,centroid_x_offset,fold,5,,,26,,133.997532,,
isolated,random_forest,centroid_x_offset,oof,,,,132,,138.090169,,
isolated,random_forest,centroid_y_ratio,fold,1,,,27,,136.482194,,
isolated,random_forest,centroid_y_ratio,fold,2,,,27,,126.030316,,
isolated,random_forest,centroid_y_ratio,fold,3,,,26,,141.952617,,
isolated,random_forest,centroid_y_ratio,fold,4,,,26,,121.436163,,
isolated,random_forest,centroid_y_ratio,fold,5,,,26,,119.593283,,
isolated,random_forest,centroid_y_ratio,oof,,,,132,,129.131602,,
isolated,random_forest,circularity,fold,1,,,27,,125.296590,,
isolated,random_forest,circularity,fold,2,,,27,,134.020664,,
isolated,random_forest,circularity,fold,3,,,26,,118.590385,,
isolated,random_forest,circularity,fold,4,,,26,,105.872409,,
isolated,random_forest,circularity,fold,5,,,26,,135.053169,,
isolated,random_forest,circularity,oof,,,,132,,123.855916,,
isolated,random_forest,convex_area,fold,1,,,27,,59.880730,,
isolated,random_forest,convex_area,fold,2,,,27,,74.837453,,
isolated,random_forest,convex_area,fold,3,,,26,,71.703982,,
isolated,random_forest,convex_area,fold,4,,,26,,69.228496,,
isolated,random_forest,convex_area,fold,5,,,26,,83.959586,,
isolated,random_forest,convex_area,oof,,,,132,,71.852914,,
isolated,random_forest,convexity,fold,1,,,27,,139.331448,,
isolated,random_forest,convexity,fold,2,,,27,,146.469431,,
isolated,random_forest,convexity,fold,3,,,26,,136.123892,,
isolated,random_forest,convexity,fold,4,,,26,,131.629260,,
isolated,random_forest,convexity,fold,5,,,26,,136.832543,,
isolated,random_forest,convexity,oof,,,,132,,138.150393,,
isolated,random_forest,end_vertical_occupancy_max,fold,1,,,27,,72.383177,,
isolated,random_forest,end_vertical_occupancy_max,fold,2,,,27,,67.241258,,
isolated,random_forest,end_vertical_occupancy_max,fold,3,,,26,,68.860333,,
isolated,random_forest,end_vertical_occupancy_max,fold,4,,,26,,70.124964,,
isolated,random_forest,end_vertical_occupancy_max,fold,5,,,26,,100.597583,,
isolated,random_forest,end_vertical_occupancy_max,oof,,,,132,,75.750111,,
isolated,random_forest,end_vertical_occupancy_min,fold,1,,,27,,75.033290,,
isolated,random_forest,end_vertical_occupancy_min,fold,2,,,27,,59.070519,,
isolated,random_forest,end_vertical_occupancy_min,fold,3,,,26,,80.689555,,
isolated,random_forest,end_vertical_occupancy_min,fold,4,,,26,,79.736098,,
isolated,random_forest,end_vertical_occupancy_min,fold,5,,,26,,100.713464,,
isolated,random_forest,end_vertical_occupancy_min,oof,,,,132,,78.866817,,
isolated,random_forest,equivalent_diameter,fold,1,,,27,,57.427334,,
isolated,random_forest,equivalent_diameter,fold,2,,,27,,65.144223,,
isolated,random_forest,equivalent_diameter,fold,3,,,26,,61.609339,,
isolated,random_forest,equivalent_diameter,fold,4,,,26,,61.938686,,
isolated,random_forest,equivalent_diameter,fold,5,,,26,,84.274194,,
isolated,random_forest,equivalent_diameter,oof,,,,132,,66.006134,,
isolated,random_forest,extent,fold,1,,,27,,134.010517,,
isolated,random_forest,extent,fold,2,,,27,,98.017612,,
isolated,random_forest,extent,fold,3,,,26,,116.997860,,
isolated,random_forest,extent,fold,4,,,26,,76.031084,,
isolated,random_forest,extent,fold,5,,,26,,102.313386,,
isolated,random_forest,extent,oof,,,,132,,105.633788,,
isolated,random_forest,feret_diameter,fold,1,,,27,,68.173767,,
isolated,random_forest,feret_diameter,fold,2,,,27,,66.291686,,
isolated,random_forest,feret_diameter,fold,3,,,26,,78.317161,,
isolated,random_forest,feret_diameter,fold,4,,,26,,81.191624,,
isolated,random_forest,feret_diameter,fold,5,,,26,,77.361645,,
isolated,random_forest,feret_diameter,oof,,,,132,,74.160594,,
isolated,random_forest,hu_moment_1,fold,1,,,27,,130.124991,,
isolated,random_forest,hu_moment_1,fold,2,,,27,,109.093142,,
isolated,random_forest,hu_moment_1,fold,3,,,26,,124.318049,,
isolated,random_forest,hu_moment_1,fold,4,,,26,,110.487571,,
isolated,random_forest,hu_moment_1,fold,5,,,26,,129.133642,,
isolated,random_forest,hu_moment_1,oof,,,,132,,120.615988,,
isolated,random_forest,hu_moment_2,fold,1,,,27,,103.367072,,
isolated,random_forest,hu_moment_2,fold,2,,,27,,100.706984,,
isolated,random_forest,hu_moment_2,fold,3,,,26,,101.231795,,
isolated,random_forest,hu_moment_2,fold,4,,,26,,96.006288,,
isolated,random_forest,hu_moment_2,fold,5,,,26,,97.659198,,
isolated,random_forest,hu_moment_2,oof,,,,132,,99.828249,,
isolated,random_forest,major_axis_length,fold,1,,,27,,66.500658,,
isolated,random_forest,major_axis_length,fold,2,,,27,,56.737219,,
isolated,random_forest,major_axis_length,fold,3,,,26,,64.429679,,
isolated,random_forest,major_axis_length,fold,4,,,26,,67.548480,,
isolated,random_forest,major_axis_length,fold,5,,,26,,74.242965,,
isolated,random_forest,major_axis_length,oof,,,,132,,65.827060,,
isolated,random_forest,minor_axis_length,fold,1,,,27,,77.254385,,
isolated,random_forest,minor_axis_length,fold,2,,,27,,72.136055,,
isolated,random_forest,minor_axis_length,fold,3,,,26,,65.213887,,
isolated,random_forest,minor_axis_length,fold,4,,,26,,75.622815,,
isolated,random_forest,minor_axis_length,fold,5,,,26,,112.854676,,
isolated,random_forest,minor_axis_length,oof,,,,132,,80.526649,,
isolated,random_forest,perimeter,fold,1,,,27,,67.851544,,
isolated,random_forest,perimeter,fold,2,,,27,,70.698120,,
isolated,random_forest,perimeter,fold,3,,,26,,64.236785,,
isolated,random_forest,perimeter,fold,4,,,26,,74.335853,,
isolated,random_forest,perimeter,fold,5,,,26,,74.898243,,
isolated,random_forest,perimeter,oof,,,,132,,70.386999,,
isolated,random_forest,roundness,fold,1,,,27,,129.020536,,
isolated,random_forest,roundness,fold,2,,,27,,106.940534,,
isolated,random_forest,roundness,fold,3,,,26,,120.089710,,
isolated,random_forest,roundness,fold,4,,,26,,140.711287,,
isolated,random_forest,roundness,fold,5,,,26,,118.834002,,
isolated,random_forest,roundness,oof,,,,132,,123.041355,,
isolated,random_forest,solidity,fold,1,,,27,,107.395861,,
isolated,random_forest,solidity,fold,2,,,27,,89.498541,,
isolated,random_forest,solidity,fold,3,,,26,,98.629869,,
isolated,random_forest,solidity,fold,4,,,26,,105.236964,,
isolated,random_forest,solidity,fold,5,,,26,,106.045139,,
isolated,random_forest,solidity,oof,,,,132,,101.317122,,
permutation,dense,area,fold,1,0,3709114571,27,53.941613,58.102292,4.160680,harm
permutation,dense,area,fold,1,1,3664061067,27,53.941613,58.565929,4.624316,harm
permutation,dense,area,fold,1,2,3471631869,27,53.941613,57.659238,3.717625,harm
permutation,dense,area,fold,1,3,3038083872,27,53.941613,54.638546,0.696933,neutral
permutation,dense,area,fold,1,4,1772655521,27,53.941613,56.985675,3.044062,harm
permutation,dense,area,fold,1,5,497858331,27,53.941613,58.463986,4.522373,harm
permutation,dense,area,fold,1,6,4042367103,27,53.941613,59.494814,5.553201,harm
permutation,dense,area,fold,1,7,3272083355,27,53.941613,57.205028,3.263416,harm
permutation,dense,area,fold,1,8,3843402745,27,53.941613,60.096375,6.154762,harm
permutation,dense,area,fold,1,9,403767578,27,53.941613,62.514730,8.573117,harm
permutation,dense,area,fold,2,0,33554411,27,43.306228,47.220335,3.914107,harm
permutation,dense,area,fold,2,1,1157642961,27,43.306228,41.446437,-1.859791,improvement
permutation,dense,area,fold,2,2,2094330553,27,43.306228,46.186945,2.880718,harm
permutation,dense,area,fold,2,3,2430976221,27,43.306228,42.010158,-1.296070,improvement
permutation,dense,area,fold,2,4,3824532029,27,43.306228,45.336969,2.030741,harm
permutation,dense,area,fold,2,5,3073639948,27,43.306228,38.827806,-4.478422,improvement
permutation,dense,area,fold,2,6,4062654194,27,43.306228,45.929921,2.623693,harm
permutation,dense,area,fold,2,7,1976601244,27,43.306228,40.492315,-2.813913,improvement
permutation,dense,area,fold,2,8,1083509816,27,43.306228,45.494486,2.188259,harm
permutation,dense,area,fold,2,9,3946949918,27,43.306228,41.008730,-2.297498,improvement
permutation,dense,area,fold,3,0,3898157998,26,58.930772,61.536449,2.605677,harm
permutation,dense,area,fold,3,1,414350386,26,58.930772,57.244779,-1.685992,improvement
permutation,dense,area,fold,3,2,1631603134,26,58.930772,59.972757,1.041986,harm
permutation,dense,area,fold,3,3,3553061442,26,58.930772,57.318648,-1.612124,improvement
permutation,dense,area,fold,3,4,4263269095,26,58.930772,59.044222,0.113450,neutral
permutation,dense,area,fold,3,5,543194488,26,58.930772,56.435090,-2.495682,improvement
permutation,dense,area,fold,3,6,1591557838,26,58.930772,57.672082,-1.258690,improvement
permutation,dense,area,fold,3,7,1986778973,26,58.930772,58.655561,-0.275211,neutral
permutation,dense,area,fold,3,8,699646783,26,58.930772,61.220552,2.289780,harm
permutation,dense,area,fold,3,9,2337736368,26,58.930772,59.241465,0.310693,neutral
permutation,dense,area,fold,4,0,2226079241,26,66.590015,68.590606,2.000592,harm
permutation,dense,area,fold,4,1,3337703701,26,66.590015,66.409008,-0.181006,neutral
permutation,dense,area,fold,4,2,924772163,26,66.590015,63.645955,-2.944060,improvement
permutation,dense,area,fold,4,3,1220015727,26,66.590015,71.255533,4.665519,harm
permutation,dense,area,fold,4,4,1230091001,26,66.590015,64.935543,-1.654472,improvement
permutation,dense,area,fold,4,5,2865622056,26,66.590015,64.434553,-2.155462,improvement
permutation,dense,area,fold,4,6,1475451766,26,66.590015,66.472748,-0.117267,neutral
permutation,dense,area,fold,4,7,2457060519,26,66.590015,67.271656,0.681641,neutral
permutation,dense,area,fold,4,8,2783681110,26,66.590015,69.433968,2.843953,harm
permutation,dense,area,fold,4,9,2455921730,26,66.590015,64.711692,-1.878322,improvement
permutation,dense,area,fold,5,0,1899153945,26,51.972007,55.860534,3.888526,harm
permutation,dense,area,fold,5,1,622685661,26,51.972007,54.085975,2.113968,harm
permutation,dense,area,fold,5,2,1128972834,26,51.972007,51.771593,-0.200414,neutral
permutation,dense,area,fold,5,3,163679032,26,51.972007,53.469921,1.497913,harm
permutation,dense,area,fold,5,4,1738370783,26,51.972007,62.338911,10.366903,harm
permutation,dense,area,fold,5,5,3245611645,26,51.972007,59.256938,7.284930,harm
permutation,dense,area,fold,5,6,1545069866,26,51.972007,58.412928,6.440921,harm
permutation,dense,area,fold,5,7,3070675393,26,51.972007,60.480746,8.508739,harm
permutation,dense,area,fold,5,8,2276850200,26,51.972007,55.012438,3.040430,harm
permutation,dense,area,fold,5,9,4062096572,26,51.972007,51.618042,-0.353965,neutral
permutation,dense,area,oof,,0,,132,54.852306,58.177184,3.324878,harm
permutation,dense,area,oof,,1,,132,54.852306,55.466422,0.614116,neutral
permutation,dense,area,oof,,2,,132,54.852306,55.787840,0.935534,neutral
permutation,dense,area,oof,,3,,132,54.852306,55.626225,0.773919,neutral
permutation,dense,area,oof,,4,,132,54.852306,57.628765,2.776459,harm
permutation,dense,area,oof,,5,,132,54.852306,55.380072,0.527766,neutral
permutation,dense,area,oof,,6,,132,54.852306,57.522497,2.670191,harm
permutation,dense,area,oof,,7,,132,54.852306,56.700267,1.847962,harm
permutation,dense,area,oof,,8,,132,54.852306,58.168895,3.316589,harm
permutation,dense,area,oof,,9,,132,54.852306,55.757459,0.905153,neutral
permutation,dense,area_major_axis_product,fold,1,0,3264189896,27,53.941613,54.036522,0.094909,neutral
permutation,dense,area_major_axis_product,fold,1,1,4182987321,27,53.941613,56.052789,2.111176,harm
permutation,dense,area_major_axis_product,fold,1,2,1910975556,27,53.941613,53.775897,-0.165716,neutral
permutation,dense,area_major_axis_product,fold,1,3,2178475803,27,53.941613,55.211622,1.270010,harm
permutation,dense,area_major_axis_product,fold,1,4,1652586735,27,53.941613,57.375931,3.434318,harm
permutation,dense,area_major_axis_product,fold,1,5,1937788631,27,53.941613,53.793092,-0.148520,neutral
permutation,dense,area_major_axis_product,fold,1,6,3192822995,27,53.941613,57.388909,3.447297,harm
permutation,dense,area_major_axis_product,fold,1,7,3744168948,27,53.941613,56.505665,2.564052,harm
permutation,dense,area_major_axis_product,fold,1,8,3588158849,27,53.941613,56.536864,2.595251,harm
permutation,dense,area_major_axis_product,fold,1,9,89364455,27,53.941613,51.439005,-2.502608,improvement
permutation,dense,area_major_axis_product,fold,2,0,3233275207,27,43.306228,40.494069,-2.812158,improvement
permutation,dense,area_major_axis_product,fold,2,1,878885560,27,43.306228,39.570016,-3.736212,improvement
permutation,dense,area_major_axis_product,fold,2,2,762937026,27,43.306228,44.697831,1.391603,harm
permutation,dense,area_major_axis_product,fold,2,3,2435824799,27,43.306228,42.604820,-0.701408,neutral
permutation,dense,area_major_axis_product,fold,2,4,1664718069,27,43.306228,39.443764,-3.862464,improvement
permutation,dense,area_major_axis_product,fold,2,5,408908833,27,43.306228,43.838882,0.532654,neutral
permutation,dense,area_major_axis_product,fold,2,6,1725322830,27,43.306228,45.738695,2.432467,harm
